ZIP,YEAR,SEX,Group - 10 Year,POPULATION
92065,2013,Female,10 to 19,2511
92009,2013,Female,10 to 19,3115
92110,2013,Female,10 to 19,1717
92155,2013,Female,10 to 19,2
92020,2013,Female,10 to 19,3560
92101,2013,Female,10 to 19,752
92036,2013,Female,10 to 19,193
92109,2013,Female,10 to 19,1250
92081,2013,Female,10 to 19,1604
92130,2013,Female,10 to 19,4304
91963,2013,Female,10 to 19,56
92026,2013,Female,10 to 19,3389
92129,2013,Female,10 to 19,3698
92054,2013,Female,10 to 19,2181
92027,2013,Female,10 to 19,4063
92154,2013,Female,10 to 19,5830
92136,2013,Female,10 to 19,205
92067,2013,Female,10 to 19,668
92084,2013,Female,10 to 19,3496
92029,2013,Female,10 to 19,1034
92093,2013,Female,10 to 19,3057
92116,2013,Female,10 to 19,1180
92259,2013,Female,10 to 19,0
92021,2013,Female,10 to 19,4153
91980,2013,Female,10 to 19,13
92086,2013,Female,10 to 19,51
92119,2013,Female,10 to 19,1231
92182,2013,Female,10 to 19,1078
92104,2013,Female,10 to 19,2025
91977,2013,Female,10 to 19,4319
91917,2013,Female,10 to 19,53
92078,2013,Female,10 to 19,2610
92120,2013,Female,10 to 19,1211
91915,2013,Female,10 to 19,2304
92127,2013,Female,10 to 19,3159
92111,2013,Female,10 to 19,2631
92082,2013,Female,10 to 19,1113
92102,2013,Female,10 to 19,3116
92140,2013,Female,10 to 19,12
92061,2013,Female,10 to 19,196
91945,2013,Female,10 to 19,1717
92028,2013,Female,10 to 19,3065
92126,2013,Female,10 to 19,3743
92096,2013,Female,10 to 19,487
92139,2013,Female,10 to 19,2425
91931,2013,Female,10 to 19,17
92040,2013,Female,10 to 19,2600
91910,2013,Female,10 to 19,5467
91934,2013,Female,10 to 19,65
92083,2013,Female,10 to 19,2621
92115,2013,Female,10 to 19,3396
92134,2013,Female,10 to 19,6
92055,2013,Female,10 to 19,1277
92071,2013,Female,10 to 19,3280
92057,2013,Female,10 to 19,3704
91911,2013,Female,10 to 19,6511
92025,2013,Female,10 to 19,3821
92008,2013,Female,10 to 19,1366
92010,2013,Female,10 to 19,950
92037,2013,Female,10 to 19,1872
91948,2013,Female,10 to 19,25
92070,2013,Female,10 to 19,26
92108,2013,Female,10 to 19,435
92011,2013,Female,10 to 19,1469
92107,2013,Female,10 to 19,890
92014,2013,Female,10 to 19,641
92114,2013,Female,10 to 19,4715
92024,2013,Female,10 to 19,2889
91906,2013,Female,10 to 19,230
92161,2013,Female,10 to 19,0
91932,2013,Female,10 to 19,1768
92075,2013,Female,10 to 19,603
92019,2013,Female,10 to 19,2908
92122,2013,Female,10 to 19,1377
92145,2013,Female,10 to 19,12
92059,2013,Female,10 to 19,85
92007,2013,Female,10 to 19,439
91905,2013,Female,10 to 19,123
92536,2013,Female,10 to 19,14
91950,2013,Female,10 to 19,4243
92004,2013,Female,10 to 19,267
91902,2013,Female,10 to 19,1033
91978,2013,Female,10 to 19,488
91914,2013,Female,10 to 19,1535
92106,2013,Female,10 to 19,1488
92105,2013,Female,10 to 19,5427
92131,2013,Female,10 to 19,2556
92118,2013,Female,10 to 19,1049
92113,2013,Female,10 to 19,4428
92128,2013,Female,10 to 19,2576
92056,2013,Female,10 to 19,3067
92121,2013,Female,10 to 19,152
92069,2013,Female,10 to 19,3430
91942,2013,Female,10 to 19,1674
91941,2013,Female,10 to 19,1665
92173,2013,Female,10 to 19,2563
92103,2013,Female,10 to 19,734
92124,2013,Female,10 to 19,2081
91913,2013,Female,10 to 19,3649
92064,2013,Female,10 to 19,3374
92066,2013,Female,10 to 19,17
91901,2013,Female,10 to 19,1092
92003,2013,Female,10 to 19,220
92123,2013,Female,10 to 19,1275
92672,2013,Female,10 to 19,259
92117,2013,Female,10 to 19,2290
92091,2013,Female,10 to 19,101
92135,2013,Female,10 to 19,105
91935,2013,Female,10 to 19,596
92058,2013,Female,10 to 19,1397
91962,2013,Female,10 to 19,73
91916,2013,Female,10 to 19,129
92060,2013,Female,10 to 19,39
92259,2013,Female,20 to 29,0
92066,2013,Female,20 to 29,13
92003,2013,Female,20 to 29,265
92104,2013,Female,20 to 29,4085
92115,2013,Female,20 to 29,7203
92182,2013,Female,20 to 29,176
92011,2013,Female,20 to 29,1136
92154,2013,Female,20 to 29,5871
92102,2013,Female,20 to 29,3712
92135,2013,Female,20 to 29,643
92065,2013,Female,20 to 29,2509
92029,2013,Female,20 to 29,1304
92536,2013,Female,20 to 29,31
92116,2013,Female,20 to 29,2768
92139,2013,Female,20 to 29,2787
92054,2013,Female,20 to 29,3447
92155,2013,Female,20 to 29,26
91910,2013,Female,20 to 29,6016
92082,2013,Female,20 to 29,1152
92036,2013,Female,20 to 29,205
92027,2013,Female,20 to 29,4146
91941,2013,Female,20 to 29,2580
91905,2013,Female,20 to 29,114
92078,2013,Female,20 to 29,3000
92128,2013,Female,20 to 29,2793
92129,2013,Female,20 to 29,3290
92111,2013,Female,20 to 29,3862
91950,2013,Female,20 to 29,4363
92107,2013,Female,20 to 29,2566
92124,2013,Female,20 to 29,2449
92122,2013,Female,20 to 29,6689
91917,2013,Female,20 to 29,47
92057,2013,Female,20 to 29,4289
92084,2013,Female,20 to 29,3685
92061,2013,Female,20 to 29,184
91977,2013,Female,20 to 29,4525
91945,2013,Female,20 to 29,1891
92145,2013,Female,20 to 29,31
92096,2013,Female,20 to 29,63
91962,2013,Female,20 to 29,94
92024,2013,Female,20 to 29,3079
91906,2013,Female,20 to 29,231
91915,2013,Female,20 to 29,1755
92119,2013,Female,20 to 29,1592
91942,2013,Female,20 to 29,3740
92070,2013,Female,20 to 29,40
91948,2013,Female,20 to 29,21
92028,2013,Female,20 to 29,3596
91963,2013,Female,20 to 29,75
92108,2013,Female,20 to 29,2809
92025,2013,Female,20 to 29,3707
92123,2013,Female,20 to 29,2512
92064,2013,Female,20 to 29,2948
92110,2013,Female,20 to 29,2705
91934,2013,Female,20 to 29,75
91931,2013,Female,20 to 29,24
92086,2013,Female,20 to 29,95
91978,2013,Female,20 to 29,621
92113,2013,Female,20 to 29,4162
92059,2013,Female,20 to 29,114
92134,2013,Female,20 to 29,25
92058,2013,Female,20 to 29,2080
92037,2013,Female,20 to 29,3374
91980,2013,Female,20 to 29,11
92010,2013,Female,20 to 29,926
92118,2013,Female,20 to 29,1180
92130,2013,Female,20 to 29,2310
91916,2013,Female,20 to 29,114
91914,2013,Female,20 to 29,1044
91913,2013,Female,20 to 29,3368
92093,2013,Female,20 to 29,1574
92127,2013,Female,20 to 29,2431
92109,2013,Female,20 to 29,6713
92091,2013,Female,20 to 29,65
92131,2013,Female,20 to 29,1705
92121,2013,Female,20 to 29,569
92106,2013,Female,20 to 29,2090
92020,2013,Female,20 to 29,4658
92083,2013,Female,20 to 29,3092
92120,2013,Female,20 to 29,1785
92004,2013,Female,20 to 29,356
92117,2013,Female,20 to 29,4005
92007,2013,Female,20 to 29,657
92126,2013,Female,20 to 29,5578
92071,2013,Female,20 to 29,4175
92014,2013,Female,20 to 29,628
92140,2013,Female,20 to 29,47
92069,2013,Female,20 to 29,3652
92026,2013,Female,20 to 29,3960
92081,2013,Female,20 to 29,2402
92672,2013,Female,20 to 29,601
92075,2013,Female,20 to 29,681
91901,2013,Female,20 to 29,1026
92008,2013,Female,20 to 29,2197
92021,2013,Female,20 to 29,5076
92055,2013,Female,20 to 29,3372
92103,2013,Female,20 to 29,2778
92101,2013,Female,20 to 29,4179
92105,2013,Female,20 to 29,5840
91902,2013,Female,20 to 29,1163
92019,2013,Female,20 to 29,3162
92173,2013,Female,20 to 29,2347
92040,2013,Female,20 to 29,3068
92114,2013,Female,20 to 29,4842
91911,2013,Female,20 to 29,6456
92060,2013,Female,20 to 29,69
92009,2013,Female,20 to 29,2063
92056,2013,Female,20 to 29,4264
92067,2013,Female,20 to 29,436
91935,2013,Female,20 to 29,559
92136,2013,Female,20 to 29,1320
91932,2013,Female,20 to 29,2397
92161,2013,Female,20 to 29,0
91942,2013,Female,30 to 39,2953
91963,2013,Female,30 to 39,47
92122,2013,Female,30 to 39,4013
92120,2013,Female,30 to 39,1640
92069,2013,Female,30 to 39,3119
91950,2013,Female,30 to 39,3505
92065,2013,Female,30 to 39,1914
91941,2013,Female,30 to 39,2053
92106,2013,Female,30 to 39,1362
91978,2013,Female,30 to 39,509
92084,2013,Female,30 to 39,2974
92117,2013,Female,30 to 39,3751
91962,2013,Female,30 to 39,75
92054,2013,Female,30 to 39,2925
92118,2013,Female,30 to 39,953
92130,2013,Female,30 to 39,3586
92071,2013,Female,30 to 39,3691
92129,2013,Female,30 to 39,3256
92114,2013,Female,30 to 39,3706
91948,2013,Female,30 to 39,22
92139,2013,Female,30 to 39,2306
92007,2013,Female,30 to 39,926
92104,2013,Female,30 to 39,5270
92135,2013,Female,30 to 39,96
92126,2013,Female,30 to 39,5334
92067,2013,Female,30 to 39,372
92066,2013,Female,30 to 39,13
92011,2013,Female,30 to 39,1311
92536,2013,Female,30 to 39,22
92070,2013,Female,30 to 39,33
91906,2013,Female,30 to 39,182
92082,2013,Female,30 to 39,872
91905,2013,Female,30 to 39,100
92154,2013,Female,30 to 39,4924
92121,2013,Female,30 to 39,346
92021,2013,Female,30 to 39,4151
92140,2013,Female,30 to 39,4
92026,2013,Female,30 to 39,3373
91910,2013,Female,30 to 39,5180
92672,2013,Female,30 to 39,346
92037,2013,Female,30 to 39,2862
92110,2013,Female,30 to 39,2105
91932,2013,Female,30 to 39,1964
91901,2013,Female,30 to 39,853
92145,2013,Female,30 to 39,3
92134,2013,Female,30 to 39,5
92055,2013,Female,30 to 39,1739
91977,2013,Female,30 to 39,3791
92040,2013,Female,30 to 39,2439
92027,2013,Female,30 to 39,3475
91902,2013,Female,30 to 39,1008
92019,2013,Female,30 to 39,2494
92010,2013,Female,30 to 39,995
91913,2013,Female,30 to 39,3673
92024,2013,Female,30 to 39,3518
91931,2013,Female,30 to 39,16
92105,2013,Female,30 to 39,5230
92025,2013,Female,30 to 39,3395
92014,2013,Female,30 to 39,752
91980,2013,Female,30 to 39,16
92113,2013,Female,30 to 39,3570
92083,2013,Female,30 to 39,2506
92004,2013,Female,30 to 39,184
92091,2013,Female,30 to 39,94
92003,2013,Female,30 to 39,235
92086,2013,Female,30 to 39,77
92127,2013,Female,30 to 39,3403
92008,2013,Female,30 to 39,1869
92096,2013,Female,30 to 39,0
92115,2013,Female,30 to 39,4103
92075,2013,Female,30 to 39,883
92029,2013,Female,30 to 39,1072
92064,2013,Female,30 to 39,2322
92058,2013,Female,30 to 39,1606
92128,2013,Female,30 to 39,3488
92182,2013,Female,30 to 39,4
92101,2013,Female,30 to 39,4263
92124,2013,Female,30 to 39,2650
91915,2013,Female,30 to 39,2342
92009,2013,Female,30 to 39,2643
92081,2013,Female,30 to 39,1926
92107,2013,Female,30 to 39,2947
92060,2013,Female,30 to 39,42
91935,2013,Female,30 to 39,365
92103,2013,Female,30 to 39,3778
92116,2013,Female,30 to 39,3810
92259,2013,Female,30 to 39,0
92131,2013,Female,30 to 39,2269
92078,2013,Female,30 to 39,3052
91911,2013,Female,30 to 39,5597
91945,2013,Female,30 to 39,1734
92123,2013,Female,30 to 39,2486
92161,2013,Female,30 to 39,0
92111,2013,Female,30 to 39,3660
92061,2013,Female,30 to 39,160
91934,2013,Female,30 to 39,48
92093,2013,Female,30 to 39,41
92059,2013,Female,30 to 39,99
92020,2013,Female,30 to 39,3825
92109,2013,Female,30 to 39,4986
92119,2013,Female,30 to 39,1343
92173,2013,Female,30 to 39,1894
92056,2013,Female,30 to 39,3095
91916,2013,Female,30 to 39,79
92108,2013,Female,30 to 39,2380
92155,2013,Female,30 to 39,7
92102,2013,Female,30 to 39,3670
92136,2013,Female,30 to 39,168
91917,2013,Female,30 to 39,35
92057,2013,Female,30 to 39,3534
92028,2013,Female,30 to 39,2515
91914,2013,Female,30 to 39,1103
92036,2013,Female,30 to 39,177
92055,2013,Female,40 to 49,566
92029,2013,Female,40 to 49,1173
92128,2013,Female,40 to 49,3762
92093,2013,Female,40 to 49,12
92008,2013,Female,40 to 49,1784
91980,2013,Female,40 to 49,9
92064,2013,Female,40 to 49,3703
92119,2013,Female,40 to 49,1575
92021,2013,Female,40 to 49,4434
92135,2013,Female,40 to 49,28
92003,2013,Female,40 to 49,315
92037,2013,Female,40 to 49,2488
92130,2013,Female,40 to 49,5548
92124,2013,Female,40 to 49,1841
92091,2013,Female,40 to 49,168
91906,2013,Female,40 to 49,224
92059,2013,Female,40 to 49,115
91935,2013,Female,40 to 49,686
92131,2013,Female,40 to 49,3212
91962,2013,Female,40 to 49,102
92040,2013,Female,40 to 49,2898
92007,2013,Female,40 to 49,783
92145,2013,Female,40 to 49,0
92067,2013,Female,40 to 49,693
91910,2013,Female,40 to 49,5598
91950,2013,Female,40 to 49,3653
92161,2013,Female,40 to 49,0
92111,2013,Female,40 to 49,3079
91917,2013,Female,40 to 49,49
92009,2013,Female,40 to 49,3823
92019,2013,Female,40 to 49,3054
92070,2013,Female,40 to 49,35
