,id,latitude,longitude,name,url,zindex
0,116625,32.919433,-117.141434,Mira Mesa,http://www.zillow.com/local-info/CA-San-Diego/Mira-Mesa/r_116625/,462100.0
1,118673,32.870593,-117.207369,University City,http://www.zillow.com/local-info/CA-San-Diego/University-City/r_118673/,513900.0
2,117557,32.970952,-117.126621,Rancho Penasquitos,http://www.zillow.com/local-info/CA-San-Diego/Rancho-Penasquitos/r_117557/,647300.0
3,273140,32.937439,-117.208103,Carmel Valley,http://www.zillow.com/local-info/CA-San-Diego/Carmel-Valley/r_273140/,878500.0
4,275127,33.033704,-117.078306,Rancho Bernardo,http://www.zillow.com/local-info/CA-San-Diego/Rancho-Bernardo/r_275127/,520900.0
5,274717,32.746122,-117.129668,North Park,http://www.zillow.com/local-info/CA-San-Diego/North-Park/r_274717/,475600.0
6,46087,32.847885,-117.2548,La Jolla,http://www.zillow.com/local-info/CA-San-Diego/La-Jolla/r_46087/,1532200.0
7,403253,32.578416,-117.059537,Otay Mesa West,http://www.zillow.com/local-info/CA-San-Diego/Otay-Mesa-West/r_403253/,349100.0
8,272875,32.687068,-117.043595,Bay Terraces,http://www.zillow.com/local-info/CA-San-Diego/Bay-Terraces/r_272875/,344300.0
9,117156,32.80483,-117.237967,Pacific Beach,http://www.zillow.com/local-info/CA-San-Diego/Pacific-Beach/r_117156/,676700.0
10,118541,32.834895,-117.062776,Tierrasanta,http://www.zillow.com/local-info/CA-San-Diego/Tierrasanta/r_118541/,545100.0
11,268076,32.81683,-117.174289,Clairemont Mesa East,http://www.zillow.com/local-info/CA-San-Diego/Clairemont-Mesa-East/r_268076/,474200.0
12,117892,32.554946,-117.049068,San Ysidro,http://www.zillow.com/local-info/CA-San-Diego/San-Ysidro/r_117892/,335800.0
13,118015,32.792786,-117.133354,Serra Mesa,http://www.zillow.com/local-info/CA-San-Diego/Serra-Mesa/r_118015/,470800.0
14,116213,32.783125,-117.172989,Linda Vista,http://www.zillow.com/local-info/CA-San-Diego/Linda-Vista/r_116213/,412100.0
15,268410,32.743668,-117.233265,Point Loma Heights,http://www.zillow.com/local-info/CA-San-Diego/Point-Loma-Heights/r_268410/,613300.0
16,268247,32.818503,-117.030857,Lake Murray,http://www.zillow.com/local-info/CA-San-Diego/Lake-Murray/r_268247/,473600.0
17,268390,32.676216,-117.058266,Paradise Hills,http://www.zillow.com/local-info/CA-San-Diego/Paradise-Hills/r_268390/,348000.0
18,274612,32.699034,-117.107632,Mountain View,http://www.zillow.com/local-info/CA-San-Diego/Mountain-View/r_274612/,287000.0
19,114961,32.713975,-117.058713,Encanto,http://www.zillow.com/local-info/CA-San-Diego/Encanto/r_114961/,344100.0
20,116856,32.570444,-117.077594,Nestor,http://www.zillow.com/local-info/CA-San-Diego/Nestor/r_116856/,345900.0
21,113657,32.791457,-117.199946,Bay Park,http://www.zillow.com/local-info/CA-San-Diego/Bay-Park/r_113657/,664800.0
22,117980,32.90856,-117.054022,Scripps Ranch,http://www.zillow.com/local-info/CA-San-Diego/Scripps-Ranch/r_117980/,642100.0
23,116921,32.833932,-117.193176,North Clairemont,http://www.zillow.com/local-info/CA-San-Diego/North-Clairemont/r_116921/,497500.0
24,115622,32.750461,-117.159157,Hillcrest,http://www.zillow.com/local-info/CA-San-Diego/Hillcrest/r_115622/,447000.0
26,268287,32.699932,-117.13393,Logan Heights,http://www.zillow.com/local-info/CA-San-Diego/Logan-Heights/r_268287/,320300.0
27,274836,32.732029,-117.06991,Oak Park,http://www.zillow.com/local-info/CA-San-Diego/Oak-Park/r_274836/,318200.0
28,268304,32.931248,-117.090241,Miramar Ranch North,http://www.zillow.com/local-info/CA-San-Diego/Miramar-Ranch-North/r_268304/,718800.0
29,275997,32.760153,-117.151437,University Heights,http://www.zillow.com/local-info/CA-San-Diego/University-Heights/r_275997/,432500.0
30,403254,32.57954,-117.019419,Ocean Crest,http://www.zillow.com/local-info/CA-San-Diego/Ocean-Crest/r_403254/,458900.0
31,275284,32.802884,-117.055653,San Carlos,http://www.zillow.com/local-info/CA-San-Diego/San-Carlos/r_275284/,528200.0
32,268015,32.823674,-117.214835,Bay Ho,http://www.zillow.com/local-info/CA-San-Diego/Bay-Ho/r_268015/,537300.0
33,275840,32.701015,-117.076665,Valencia Park,http://www.zillow.com/local-info/CA-San-Diego/Valencia-Park/r_275840/,327800.0
34,403230,32.770625,-117.054481,College East,http://www.zillow.com/local-info/CA-San-Diego/College-East/r_403230/,427100.0
36,267997,32.79667,-117.0814,Allied Gardens,http://www.zillow.com/local-info/CA-San-Diego/Allied-Gardens/r_267997/,468000.0
37,273139,32.980877,-117.080945,Carmel Mountain,http://www.zillow.com/local-info/CA-San-Diego/Carmel-Mountain/r_273139/,615200.0
38,274149,32.712267,-117.033555,Jomacha-Lomita,http://www.zillow.com/local-info/CA-San-Diego/Jomacha--Lomita/r_274149/,334900.0
39,117021,32.745207,-117.245506,Ocean Beach,http://www.zillow.com/local-info/CA-San-Diego/Ocean-Beach/r_117021/,637900.0
40,403251,32.775727,-117.137901,Mission Valley East,http://www.zillow.com/local-info/CA-San-Diego/Mission-Valley-East/r_403251/,367500.0
42,117804,32.949768,-117.086306,Sabre Springs,http://www.zillow.com/local-info/CA-San-Diego/Sabre-Springs/r_117804/,530300.0
43,403250,32.810446,-117.185533,Clairemont Mesa West,http://www.zillow.com/local-info/CA-San-Diego/Clairemont-Mesa-West/r_403250/,521000.0
44,268082,32.769514,-117.083765,College West,http://www.zillow.com/local-info/CA-San-Diego/College-West/r_268082/,496200.0
45,403237,32.741094,-117.107825,Castle,http://www.zillow.com/local-info/CA-San-Diego/Castle/r_403237/,292100.0
46,268516,32.763801,-117.09068,Talmadge,http://www.zillow.com/local-info/CA-San-Diego/Talmadge/r_268516/,509200.0
47,268258,32.699964,-117.090807,Lincoln Park,http://www.zillow.com/local-info/CA-San-Diego/Lincoln-Park/r_268258/,327900.0
48,274553,32.779559,-117.231599,Mission Bay Park,http://www.zillow.com/local-info/CA-San-Diego/Mission-Bay-Park/r_274553/,671000.0
49,116914,32.759262,-117.118742,Normal Heights,http://www.zillow.com/local-info/CA-San-Diego/Normal-Heights/r_116914/,362500.0
50,273609,32.581672,-117.102867,Egger Highlands,http://www.zillow.com/local-info/CA-San-Diego/Egger-Highlands/r_273609/,351400.0
51,274588,32.770603,-117.19313,Morena,http://www.zillow.com/local-info/CA-San-Diego/Morena/r_274588/,393300.0
52,268184,32.71632,-117.134505,Golden Hill,http://www.zillow.com/local-info/CA-San-Diego/Golden-Hill/r_268184/,324900.0
53,268393,32.731718,-117.165023,Park West,http://www.zillow.com/local-info/CA-San-Diego/Park-West/r_268393/,602000.0
55,275386,32.704932,-117.036886,Skyline,http://www.zillow.com/local-info/CA-San-Diego/Skyline/r_275386/,338800.0
56,268443,32.76105,-117.053675,Rolando,http://www.zillow.com/local-info/CA-San-Diego/Rolando/r_268443/,423400.0
57,115372,32.797033,-117.097092,Grantville,http://www.zillow.com/local-info/CA-San-Diego/Grantville/r_115372/,231700.0
59,403233,32.752875,-117.096645,Teralta East,http://www.zillow.com/local-info/CA-San-Diego/Teralta-East/r_403233/,214400.0
60,268106,32.787202,-117.066657,Del Cerro,http://www.zillow.com/local-info/CA-San-Diego/Del-Cerro/r_268106/,657000.0
61,274698,32.97317,-117.215732,North City,http://www.zillow.com/local-info/CA-San-Diego/North-City/r_274698/,1192100.0
62,268024,32.999115,-117.133737,Black Mountain Ranch,http://www.zillow.com/local-info/CA-San-Diego/Black-Mountain-Ranch/r_268024/,964400.0
63,114649,32.95146,-117.251016,Del Mar Heights,http://www.zillow.com/local-info/CA-San-Diego/Del-Mar-Heights/r_114649/,1310600.0
64,274174,32.767437,-117.10454,Kensington,http://www.zillow.com/local-info/CA-San-Diego/Kensington/r_274174/,708600.0
65,276640,32.727693,-117.094055,Ridgeview-Webster,http://www.zillow.com/local-info/CA-San-Diego/Ridgeview--Webster/r_276640/,352300.0
66,117174,32.585601,-117.079474,Palm City,http://www.zillow.com/local-info/CA-San-Diego/Palm-City/r_117174/,350700.0
67,403240,32.742567,-117.085863,Chollas Creek,http://www.zillow.com/local-info/CA-San-Diego/Chollas-Creek/r_403240/,347900.0
68,403231,32.770915,-117.120879,Adams North,http://www.zillow.com/local-info/CA-San-Diego/Adams-North/r_403231/,525100.0
69,268136,32.754631,-117.072008,El Cerrito,http://www.zillow.com/local-info/CA-San-Diego/El-Cerrito/r_268136/,358900.0
71,273349,32.71568,-117.165704,Core-Columbia,http://www.zillow.com/local-info/CA-San-Diego/Core--Columbia/r_273349/,719900.0
72,275401,32.903914,-117.194668,Sorrento Valley,http://www.zillow.com/local-info/CA-San-Diego/Sorrento-Valley/r_275401/,695100.0
73,268525,32.967527,-117.157719,Torrey Highlands,http://www.zillow.com/local-info/CA-San-Diego/Torrey-Highlands/r_268525/,815200.0
74,403236,32.744102,-117.11577,Cherokee Point,http://www.zillow.com/local-info/CA-San-Diego/Cherokee-Point/r_403236/,333300.0
75,268104,32.7479,-117.069224,Redwood Village,http://www.zillow.com/local-info/CA-San-Diego/Redwood-Village/r_268104/,356800.0
77,116266,32.742137,-117.218695,Loma Portal,http://www.zillow.com/local-info/CA-San-Diego/Loma-Portal/r_116266/,801800.0
78,116647,32.749804,-117.181539,Mission Hills,http://www.zillow.com/local-info/CA-San-Diego/Mission-Hills/r_116647/,919000.0
80,274622,32.712713,-117.108551,Mt. Hope,http://www.zillow.com/local-info/CA-San-Diego/Mt.-Hope/r_274622/,309400.0
82,118211,32.723163,-117.125543,South Park,http://www.zillow.com/local-info/CA-San-Diego/South-Park/r_118211/,585400.0
83,268495,32.691719,-117.111773,Southcrest,http://www.zillow.com/local-info/CA-San-Diego/Southcrest/r_268495/,296800.0
84,268066,32.71338,-117.094089,Chollas View,http://www.zillow.com/local-info/CA-San-Diego/Chollas-View/r_268066/,300900.0
86,268297,32.739689,-117.177182,Midtown,http://www.zillow.com/local-info/CA-San-Diego/Midtown/r_268297/,717600.0
87,117770,32.72871,-117.232684,Roseville - Fleet Ridge,http://www.zillow.com/local-info/CA-San-Diego/Roseville----Fleet-Ridge/r_117770/,968000.0
88,276439,32.70638,-117.174348,Marina,http://www.zillow.com/local-info/CA-San-Diego/Marina/r_276439/,635300.0
92,272963,32.794625,-117.155319,Bird Land,http://www.zillow.com/local-info/CA-San-Diego/Bird-Land/r_272963/,448300.0
93,268145,32.719364,-117.076392,Emerald Hills,http://www.zillow.com/local-info/CA-San-Diego/Emerald-Hills/r_268145/,342500.0
94,276122,32.694732,-117.244902,Wooded Area,http://www.zillow.com/local-info/CA-San-Diego/Wooded-Area/r_276122/,1051400.0
95,403242,32.734613,-117.096861,Swan Canyon,http://www.zillow.com/local-info/CA-San-Diego/Swan-Canyon/r_403242/,287400.0
97,274164,32.827924,-117.146342,Kearny Mesa,http://www.zillow.com/local-info/CA-San-Diego/Kearny-Mesa/r_274164/,441300.0
98,116638,32.775315,-117.250561,Mission Beach,http://www.zillow.com/local-info/CA-San-Diego/Mission-Beach/r_116638/,842600.0
99,403243,32.733125,-117.105896,Azalea-Hollywood Park,http://www.zillow.com/local-info/CA-San-Diego/Azalea--Hollywood-Park/r_403243/,308100.0
100,403245,32.724767,-117.110412,Fairmount Park,http://www.zillow.com/local-info/CA-San-Diego/Fairmount-Park/r_403245/,358300.0
101,268380,32.564264,-116.984425,Otay Mesa,http://www.zillow.com/local-info/CA-San-Diego/Otay-Mesa/r_268380/,468400.0
103,272758,32.693225,-117.064403,Alta Vista,http://www.zillow.com/local-info/CA-San-Diego/Alta-Vista/r_272758/,359700.0
104,116026,32.715501,-117.233199,La Playa,http://www.zillow.com/local-info/CA-San-Diego/La-Playa/r_116026/,1350600.0
105,268312,32.764389,-117.184449,Mission Valley West,http://www.zillow.com/local-info/CA-San-Diego/Mission-Valley-West/r_268312/,310400.0
106,118387,32.727308,-117.250803,Sunset Cliffs,http://www.zillow.com/local-info/CA-San-Diego/Sunset-Cliffs/r_118387/,1254100.0
109,273355,32.722279,-117.156819,Cortez Hill,http://www.zillow.com/local-info/CA-San-Diego/Cortez-Hill/r_273355/,415900.0
110,268259,32.725352,-117.168428,Little Italy,http://www.zillow.com/local-info/CA-San-Diego/Little-Italy/r_268259/,404400.0
117,403248,32.931807,-117.021708,Rancho Encantado,http://www.zillow.com/local-info/CA-San-Diego/Rancho-Encantado/r_403248/,1207400.0
