ZIP,YEAR,SEX,Group - 10 Year,POPULATION
92103,2010,Female,10 to 19,565
92025,2010,Female,10 to 19,3800
92083,2010,Female,10 to 19,2988
92145,2010,Female,10 to 19,0
92119,2010,Female,10 to 19,1322
91906,2010,Female,10 to 19,358
91934,2010,Female,10 to 19,33
92106,2010,Female,10 to 19,909
91905,2010,Female,10 to 19,69
92024,2010,Female,10 to 19,2852
92120,2010,Female,10 to 19,1336
92259,2010,Female,10 to 19,0
92021,2010,Female,10 to 19,4713
92065,2010,Female,10 to 19,2699
92121,2010,Female,10 to 19,139
91935,2010,Female,10 to 19,537
92003,2010,Female,10 to 19,254
92020,2010,Female,10 to 19,3953
92140,2010,Female,10 to 19,9
92064,2010,Female,10 to 19,3753
92107,2010,Female,10 to 19,1111
92019,2010,Female,10 to 19,3075
92122,2010,Female,10 to 19,1258
91941,2010,Female,10 to 19,1883
91911,2010,Female,10 to 19,6748
92014,2010,Female,10 to 19,647
92123,2010,Female,10 to 19,1225
91977,2010,Female,10 to 19,4691
92081,2010,Female,10 to 19,1602
92131,2010,Female,10 to 19,2458
92139,2010,Female,10 to 19,2540
92011,2010,Female,10 to 19,1388
92061,2010,Female,10 to 19,196
91942,2010,Female,10 to 19,1765
92108,2010,Female,10 to 19,385
92010,2010,Female,10 to 19,935
92124,2010,Female,10 to 19,1876
92101,2010,Female,10 to 19,532
92672,2010,Female,10 to 19,164
91980,2010,Female,10 to 19,3
92009,2010,Female,10 to 19,2776
92136,2010,Female,10 to 19,229
92126,2010,Female,10 to 19,3897
91945,2010,Female,10 to 19,1868
92071,2010,Female,10 to 19,3629
92182,2010,Female,10 to 19,319
92008,2010,Female,10 to 19,1394
92060,2010,Female,10 to 19,25
92007,2010,Female,10 to 19,427
92127,2010,Female,10 to 19,2619
92536,2010,Female,10 to 19,15
91948,2010,Female,10 to 19,24
91913,2010,Female,10 to 19,3182
92093,2010,Female,10 to 19,2360
92004,2010,Female,10 to 19,206
92128,2010,Female,10 to 19,2357
91902,2010,Female,10 to 19,1124
92135,2010,Female,10 to 19,131
91963,2010,Female,10 to 19,66
92059,2010,Female,10 to 19,118
92109,2010,Female,10 to 19,1023
92129,2010,Female,10 to 19,3722
91950,2010,Female,10 to 19,4460
92070,2010,Female,10 to 19,31
92173,2010,Female,10 to 19,2796
92058,2010,Female,10 to 19,1562
91914,2010,Female,10 to 19,1421
92084,2010,Female,10 to 19,3484
92110,2010,Female,10 to 19,1304
92082,2010,Female,10 to 19,1276
92057,2010,Female,10 to 19,4027
92056,2010,Female,10 to 19,3321
92111,2010,Female,10 to 19,2976
92069,2010,Female,10 to 19,3710
91915,2010,Female,10 to 19,2147
92104,2010,Female,10 to 19,1853
92078,2010,Female,10 to 19,2527
92055,2010,Female,10 to 19,1120
92113,2010,Female,10 to 19,4859
92161,2010,Female,10 to 19,0
92054,2010,Female,10 to 19,2203
92114,2010,Female,10 to 19,5408
